data,tipo,instituto,perc_ps,perc_psd,perc_cdspp,perc_cdu,perc_be,outros,vantagem,indecisos,margem_erro,data_recolha,tecnica
01-10-1999,Sondagem à boca das urnas,Euroexpansão,50.0,32.0,8.0,6.0,2.0,2.0,18.0,,,,
30-09-1999,Sondagem à boca das urnas,SEEDS,47.0,32.0,7.0,8.0,1.0,5.0,15.0,,,,
30-09-1999,Sondagem à boca das urnas,Metris,48.0,31.0,7.0,7.0,1.0,6.0,17.0,,,,
30-09-1999,Sondagem à boca das urnas,Universidade Católica,47.2,30.0,7.2,7.9,2.8,4.9,17.2,,,,
29-09-1999,Sondagem à boca das urnas,Marktest,46.2,30.7,4.2,10.6,2.8,5.5,15.5,,,,
29-09-1999,Sondagem à boca das urnas,Aximage,49.0,33.0,6.0,7.0,1.0,4.0,16.0,,,,
