data,tipo,instituto,perc_ps,perc_psd,perc_cdspp,perc_cdu,perc_be,outros,vantagem,indecisos,margem_erro,data_recolha,tecnica
10-03-2011,Sondagem à boca das urnas,Aximage,27.9,37.9,8.9,6.5,10.7,8.1,4.00,3-7 Março,600 / Telefone (fixo)
04-03-2011,Sondagem à boca das urnas,Eurosondagem,30.6,36.9,9.9,7.7,8.6,6.3,3.07,23-28 Fevereiro,1 021 / Telefone (fixo)
24-02-2011,Sondagem à boca das urnas,Marktest,29.1,47.8,4.2,5.9,6.1,6.9,,17-23 Fevereiro,797 / Telefone (fixo)
11-02-2011,Sondagem à boca das urnas,Eurosondagem,29.3,36.3,10.2,9.5,9.2,5.5,3.06,3-8 Fevereiro,1 025 / Telefone (fixo)
04-02-2011,Sondagem à boca das urnas,Aximage,27.8,39.1,9.8,6.7,9.6,6.0,,,
24-01-2011,Sondagem à boca das urnas,Eurosondagem,30.3,37.4,9.5,9.4,8.4,5.0,2.49,19-21 Janeiro,1 548 / Telefone (fixo)
23-01-2011,Sondagem à boca das urnas,Intercampus,30.8,36.8,5.8,7.3,7.1,12.2,,16-19 Janeiro,
16-01-2011,Sondagem à boca das urnas,Marktest,26.3,46.1,7.0,6.0,7.8,6.8,,,
11-01-2011,Sondagem à boca das urnas,Eurosondagem,29.7,37.2,10.1,9.0,8.7,5.3,,,
06-01-2011,Sondagem à boca das urnas,Aximage,26.6,40.1,9.2,7.9,10.4,5.9,,,
04-01-2011,Sondagem à boca das urnas,Aximage,25.4,38.3,8.8,7.5,9.9,10.1,,10-15 Dezembro,
23-12-2010,Sondagem à boca das urnas,Intercampus,30.1,41.6,7.7,10.7,8.8,1.1,,10-15 Dezembro,
18-12-2010,Sondagem à boca das urnas,Aximage,27.2,39.8,8.8,7.4,8.4,8.4,,,
11-12-2010,Sondagem à boca das urnas,Eurosondagem,30.2,36.2,9.7,9.3,8.4,6.1,,,
09-12-2010,Sondagem à boca das urnas,Aximage,28.0,41.0,9.1,7.6,8.7,5.6,,,
19-11-2010,Sondagem à boca das urnas,Marktest,26.9,44.3,6.9,8.7,6.7,6.5,,,
18-11-2010,Sondagem à boca das urnas,Intercampus,30.5,39.2,8.5,11.0,9.7,1.1,3.97,12-12 Novembro,609 / Entrevistas
12-11-2010,Sondagem à boca das urnas,Eurosondagem,30.0,37.0,9.3,9.1,8.8,5.8,,,
