data,tipo,instituto,perc_ps,perc_psd,perc_cdspp,perc_cdu,perc_be,outros,vantagem,indecisos,margem_erro,data_recolha,tecnica
27-09-2009,Sondagem à boca das urnas,Intercampus,36 a 40,26.3 a 30.3,6 a 9,8.6 a 11.6,8.5 a 11.5,,0.5,27 Set,34 811 / simulação de voto (à boca das urnas)
27-09-2009,Sondagem à boca das urnas,CESOP (UCP),36 a 40,25 a 29,7 a 10,8.5 a 11.5,9 a 12,,,27 Set,? / simulação de voto (à boca das urnas)
27-09-2009,Sondagem à boca das urnas,Eurosondagem,36.2 a 40.4,26.9 a 30.7,6.5 a 8.7,7.7 a 9.9,9 a 11.2,,0.5,27 Set,38 900 / simulação de voto (à boca das urnas)
24-09-2009,Sondagem à boca das urnas,Marktest,40,31.6,7.2,8.2,0.09,0.37,3.45,18 a 21 Set,806 / Telefone (fixo)
24-09-2009,Sondagem à boca das urnas,CESOP (UCP),38,0.3,0.07,0.08,0.11,0.12,1.5,17 a 22 Set,4 367 / Simulação de voto em urna
24-09-2009,Sondagem à boca das urnas,Intercampus,38,29.9,8.4,7.7,9.4,13.2,3.1,21 a 23 Set,1 006 / Simulação de voto em urna
18-09-2009,Sondagem à boca das urnas,Intercampus,32.9,29.7,9.2,7.0,12.0,,3.06,12 a 15 Set,1 024 / Simulação de voto em urna
18-09-2009,Sondagem à boca das urnas,Eurosondagem,34.9,31.6,8.4,8.4,9.6,0.15,2.17,13 a 16 Set,2 048 / Simulação de voto em urna
18-09-2009,Sondagem à boca das urnas,Aximage,36.1,29.7,7.5,7.6,0.1,4.3,3.58,14 a 17 Set,753 / Telefone (fixo/móvel por CATI)
16-09-2009,Sondagem à boca das urnas,CESOP (UCP),38,0.32,0.07,0.07,0.12,0.16,2.7,11 a 14 Set,1 305 / Pessoal
12-09-2009,Sondagem à boca das urnas,Marktest,35.3,32.4,6.9,5.2,16.2,,3.44,4 a 7 Set,811 / Telefone (fixo)
11-09-2009,Sondagem à boca das urnas,CESOP (UCP),37,0.35,0.08,0.06,0.11,0.26,2.7,4 a 8 Set,1 281 / Pessoal
11-09-2009,Sondagem à boca das urnas,Eurosondagem,33.6,32.5,9.4,8.0,9.6,0.19,2.18,6 a 9 Set,2 025 / Pessoal
07-09-2009,Sondagem à boca das urnas,Aximage,34.5,28.9,7.8,8.1,10.4,0.06,3.58,1 a 4 Set,750 / Telefone (fixo/móvel por CATI)
01-08-2009,Sondagem à boca das urnas,Marktest,35.5,34.2,7.4,4.4,14.3,,3.46,23 a 26 Jul,811 / Telefone (fixo)
31-07-2009,Sondagem à boca das urnas,Eurosondagem,33.0,31.1,9.4,8.5,10.0,22.8,3.04,23 a 28 Jul,1 036 / Telefone (fixo)
10-07-2009,Sondagem à boca das urnas,Aximage,30.5,30.3,9.5,6.1,13.3,,3.60,1 a 6 Jul,749 / Telefone (fixo/móvel por CATI)
02-07-2009,Sondagem à boca das urnas,Eurosondagem,35.1,33.0,9.7,7.4,9.6,19.5,3.06,25 a 30 Jun,1 024 / Telefone (fixo)
27-06-2009,Sondagem à boca das urnas,Marktest,34.5,35.8,9.4,4.4,13.1,,3.46,16 a 20 Jun,800 / Telefone (fixo)
