data,tipo,instituto,perc_ps,perc_psd,perc_cdspp,perc_cdu,perc_be,outros,vantagem,indecisos,margem_erro,data_recolha,tecnica
17-03-2002,Sondagem de Opinião,RTP1 - Universidade Católica,36.0 – 41.0,37.0 – 42.0,7.5 – 10.0,5.5 – 8.0,3.0 – 4.0,,1.0,,,,
17-03-2002,Sondagem de Opinião,SIC - Eurosondagem,35.5 – 39.3,40.1 – 43.9,6.2 – 8.4,6.2 – 8.4,2.0 – 3.4,,4.6,,,,
17-03-2002,Sondagem de Opinião,TVI - INTERCAMPUS,35.5 – 40.5,37.8 – 42.8,5.3 – 8.3,6.8 – 9.8,1.6 – 4.2,,2.3,,,,
15-03-2002,Sondagem à boca das urnas,Marktest,35.0,44.0,6.0,8.0,4.0,3.0,9.0,,,,
15-03-2002,Sondagem à boca das urnas,Lusófona,40.9,43.6,7.1,5.7,2.8,,2.7,,,,
15-03-2002,Sondagem à boca das urnas,Eurosondagem,39.3,41.4,5.6,6.9,3.5,3.3,2.1,,,,
15-03-2002,Sondagem à boca das urnas,Eurequipa,33.9,44.7,9.1,7.1,3.2,2.0,10.8,,,,
15-03-2002,Sondagem à boca das urnas,Universidade Católica,37.5,42.2,6.8,6.9,3.6,3.0,4.7,,,,
14-03-2002,Sondagem à boca das urnas,INTERCAMPUS,39.0,41.0,5.0,8.0,3.0,4.0,2.0,,,,
14-03-2002,Sondagem à boca das urnas,Aximage,40.0,44.0,6.0,7.0,2.0,1.0,4.0,,,,
13-03-2002,Sondagem à boca das urnas,SIC/Visão,36.2,41.0,5.2,6.6,2.0,9.0,4.8,,,,
08-03-2002,Sondagem à boca das urnas,Marktest,36.0,43.0,7.0,6.0,4.0,4.0,7.0,,,,
02-03-2002,Sondagem à boca das urnas,Eurosondagem,35.0,38.0,5.0,6.0,2.0,14.0,3.0,,,,
